,ADDRESS
0,"2, Jääkärinkatu, Ullanlinna, Eteläinen suurpiiri, Helsinki, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 00130, Suomi / Finland"
1,"Atlantinkatu, Jätkäsaari, Länsisatama, Eteläinen suurpiiri, Helsinki, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 00220, Suomi / Finland"
2,"Robertina, 36, Iso Roobertinkatu, Viiskulma, Punavuori, Eteläinen suurpiiri, Helsinki, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 00120, Suomi / Finland"
3,"Meilahden sairaala-alue, Haartmaninkatu, Meilahti, Läntinen suurpiiri, Helsinki, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 00290, Suomi / Finland"
4,"2, Paasivuorenkatu, Siltasaari, Kallio, Keskinen suurpiiri, Helsinki, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 00530, Suomi / Finland"
5,"2, Paasivuorenkatu, Siltasaari, Kallio, Keskinen suurpiiri, Helsinki, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 00530, Suomi / Finland"
6,"2, Paasivuorenkatu, Siltasaari, Kallio, Keskinen suurpiiri, Helsinki, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 00530, Suomi / Finland"
7,"Pasilansilta, Teollisuuskatu, Keski-Pasila, Pasila, Keskinen suurpiiri, Helsinki, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 00077, Suomi / Finland"
8,"2, Paasivuorenkatu, Siltasaari, Kallio, Keskinen suurpiiri, Helsinki, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 00530, Suomi / Finland"
9,"29, Eerikinkatu, Hietalahti, Kamppi, Eteläinen suurpiiri, Helsinki, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 00180, Suomi / Finland"
10,"Footlight, 25, Yrjönkatu, Kamppi, Eteläinen suurpiiri, Helsinki, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 00100, Suomi / Finland"
